
 wsid         | year | month | day | system.max(temperature) | system.min(temperature) | system.avg(temperature) | system.avg(dewpoint) | system.avg(dewpoint)
--------------+------+-------+-----+-------------------------+-------------------------+-------------------------+----------------------+----------------------
 725030:14732 | 2014 |     6 |  12 |                    18.9 |                    16.1 |                17.38571 |             12.94286 |             12.94286
 725030:14732 | 2014 |     6 |  11 |                    22.2 |                       0 |                17.81667 |             55.95417 |             55.95417
 725030:14732 | 2014 |     6 |  10 |                    23.9 |                       0 |                18.69583 |             57.87917 |             57.87917
 725030:14732 | 2014 |     6 |   9 |                    23.9 |                       0 |                19.04583 |              55.4125 |              55.4125
 725030:14732 | 2014 |     6 |   8 |                    28.9 |                       0 |                   23.75 |             52.14583 |             52.14583
 725030:14732 | 2014 |     6 |   7 |                    27.8 |                       0 |                 21.1375 |             51.32083 |             51.32083
 725030:14732 | 2014 |     6 |   6 |                    24.4 |                       0 |                  19.125 |             50.02917 |             50.02917
 725030:14732 | 2014 |     6 |   5 |                    24.4 |                       0 |                18.71667 |              55.8375 |              55.8375
 725030:14732 | 2014 |     6 |   4 |                    26.1 |                       0 |                 20.1125 |             56.53333 |             56.53333
 725030:14732 | 2014 |     6 |   3 |                    29.4 |                       0 |                23.34167 |             54.60833 |             54.60833
 725030:14732 | 2014 |     6 |   2 |                    25.6 |                       0 |                20.17917 |             46.88333 |             46.88333
 725030:14732 | 2014 |     6 |   1 |                    24.4 |                       0 |                17.80417 |             45.99167 |             45.99167
 725030:14732 | 2014 |     5 |  31 |                      20 |                       0 |                  17.125 |                 50.3 |                 50.3
 725030:14732 | 2014 |     5 |  30 |                    23.3 |                       0 |                16.72917 |             47.87917 |             47.87917
 725030:14732 | 2014 |     5 |  29 |                    17.2 |                       0 |                12.62083 |             47.50833 |             47.50833
 725030:14732 | 2014 |     5 |  28 |                    29.4 |                       0 |                   15.65 |              52.5375 |              52.5375
 725030:14732 | 2014 |     5 |  27 |                      30 |                       0 |                25.32083 |             52.50417 |             52.50417
 725030:14732 | 2014 |     5 |  26 |                      30 |                       0 |                23.19167 |             49.32083 |             49.32083
 725030:14732 | 2014 |     5 |  25 |                    26.7 |                       0 |                 17.9625 |             51.13333 |             51.13333
 725030:14732 | 2014 |     5 |  24 |                    18.9 |                       0 |                15.20417 |             52.74583 |             52.74583
 725030:14732 | 2014 |     5 |  23 |                    19.4 |                       0 |                15.09583 |             53.85417 |             53.85417
 725030:14732 | 2014 |     5 |  22 |                    20.6 |                       0 |                  16.375 |             53.48333 |             53.48333
 725030:14732 | 2014 |     5 |  21 |                    23.3 |                       0 |                 20.1125 |             47.82083 |             47.82083
 725030:14732 | 2014 |     5 |  20 |                    24.4 |                       0 |                 17.9625 |             44.52083 |             44.52083
 725030:14732 | 2014 |     5 |  19 |                    20.6 |                       0 |                15.24583 |             41.73333 |             41.73333
 725030:14732 | 2014 |     5 |  18 |                    18.9 |                       0 |                15.11667 |              43.6125 |              43.6125
 725030:14732 | 2014 |     5 |  17 |                    20.6 |                       0 |                    16.1 |                49.35 |                49.35
 725030:14732 | 2014 |     5 |  16 |                    21.1 |                       0 |                 18.7875 |             58.08333 |             58.08333
 725030:14732 | 2014 |     5 |  15 |                    23.3 |                       0 |                15.42083 |             54.95417 |             54.95417
 725030:14732 | 2014 |     5 |  14 |                      20 |                       0 |                13.10833 |               49.175 |               49.175
 725030:14732 | 2014 |     5 |  13 |                    23.3 |                       0 |                  17.825 |             50.24583 |             50.24583
 725030:14732 | 2014 |     5 |  12 |                    27.8 |                       0 |                 22.0375 |              49.7375 |              49.7375
 725030:14732 | 2014 |     5 |  11 |                    26.7 |                       0 |                19.98333 |              48.6875 |              48.6875
 725030:14732 | 2014 |     5 |  10 |                    27.2 |                       0 |                 18.0375 |              55.7125 |              55.7125
 725030:14732 | 2014 |     5 |   9 |                    16.1 |                       0 |                12.27917 |             52.35417 |             52.35417
 725030:14732 | 2014 |     5 |   8 |                    15.6 |                       0 |                12.52083 |             49.44583 |             49.44583
 725030:14732 | 2014 |     5 |   7 |                      20 |                       0 |                14.42083 |             39.42917 |             39.42917
 725030:14732 | 2014 |     5 |   6 |                    18.9 |                       0 |                 14.5375 |                40.25 |                40.25
 725030:14732 | 2014 |     5 |   5 |                    19.4 |                       0 |                13.65833 |             41.06667 |             41.06667
 725030:14732 | 2014 |     5 |   4 |                    17.2 |                       0 |                14.22917 |              45.3125 |              45.3125
 725030:14732 | 2014 |     5 |   3 |                      20 |                       0 |                15.85417 |                43.15 |                43.15
 725030:14732 | 2014 |     5 |   2 |                    21.1 |                       0 |                16.43333 |             46.75417 |             46.75417
 725030:14732 | 2014 |     5 |   1 |                    24.4 |                       0 |                 14.8125 |               52.275 |               52.275
 725030:14732 | 2014 |     4 |  30 |                     8.3 |                       0 |                 6.64583 |             45.58333 |             45.58333
 725030:14732 | 2014 |     4 |  29 |                    13.9 |                       0 |                 9.47917 |                43.85 |                43.85
 725030:14732 | 2014 |     4 |  28 |                    17.2 |                       0 |                 11.6125 |             41.62917 |             41.62917
 725030:14732 | 2014 |     4 |  27 |                    13.3 |                       0 |                 10.3125 |                 43.3 |                 43.3
 725030:14732 | 2014 |     4 |  26 |                    17.8 |                       0 |                    10.7 |             45.97917 |             45.97917
 725030:14732 | 2014 |     4 |  25 |                      15 |                       0 |                10.87083 |             35.09167 |             35.09167
 725030:14732 | 2014 |     4 |  24 |                    15.6 |                       0 |                 9.35833 |              35.5375 |              35.5375
 725030:14732 | 2014 |     4 |  23 |                    17.8 |                       0 |                 12.0375 |             86.50417 |             86.50417
 725030:14732 | 2014 |     4 |  22 |                    18.3 |                       0 |                 13.1375 |             47.61667 |             47.61667
 725030:14732 | 2014 |     4 |  21 |                    16.7 |                       0 |                 9.68333 |              40.1125 |              40.1125
 725030:14732 | 2014 |     4 |  20 |                      15 |                       0 |                    10.4 |                39.05 |                39.05
 725030:14732 | 2014 |     4 |  19 |                    18.3 |                       0 |                  10.125 |             40.23333 |             40.23333
 725030:14732 | 2014 |     4 |  18 |                     7.8 |                       0 |                 4.25833 |             39.25833 |             39.25833
 725030:14732 | 2014 |     4 |  17 |                     7.8 |                       0 |                 4.89167 |             36.12917 |             36.12917
 725030:14732 | 2014 |     4 |  16 |                     8.3 |                       0 |                 3.77917 |             36.20833 |             36.20833
 725030:14732 | 2014 |     4 |  15 |                    16.1 |                       0 |                    13.3 |             52.37917 |             52.37917
 725030:14732 | 2014 |     4 |  14 |                    21.1 |                       0 |                 15.9125 |             50.95833 |             50.95833
 725030:14732 | 2014 |     4 |  13 |                    22.2 |                       0 |                14.92917 |             47.46667 |             47.46667
 725030:14732 | 2014 |     4 |  12 |                    20.6 |                       0 |                14.34583 |              45.5375 |              45.5375
 725030:14732 | 2014 |     4 |  11 |                    22.2 |                       0 |                14.57917 |             44.40833 |             44.40833
 725030:14732 | 2014 |     4 |  10 |                    13.3 |                       0 |                  9.5875 |             34.46667 |             34.46667
 725030:14732 | 2014 |     4 |   9 |                    14.4 |                       0 |                 10.3875 |             40.39167 |             40.39167
 725030:14732 | 2014 |     4 |   8 |                    17.8 |                       0 |                 10.3375 |             47.09167 |             47.09167
 725030:14732 | 2014 |     4 |   7 |                    10.6 |                       0 |                 7.43333 |               40.925 |               40.925
 725030:14732 | 2014 |     4 |   6 |                      15 |                       0 |                       7 |             34.94167 |             34.94167
 725030:14732 | 2014 |     4 |   5 |                    11.7 |                       0 |                     7.3 |             42.05833 |             42.05833
 725030:14732 | 2014 |     4 |   4 |                    10.6 |                       0 |                   6.675 |             42.74583 |             42.74583
 725030:14732 | 2014 |     4 |   3 |                    17.2 |                       0 |                10.15833 |             41.19167 |             41.19167
 725030:14732 | 2014 |     4 |   2 |                    11.7 |                       0 |                 7.32083 |             43.44583 |             43.44583
 725030:14732 | 2014 |     4 |   1 |                    14.4 |                       0 |                 7.46667 |             38.84167 |             38.84167
 725030:14732 | 2014 |     3 |  31 |                    11.7 |                       0 |                 5.45833 |               41.475 |               41.475
 725030:14732 | 2014 |     3 |  30 |                     8.3 |                       0 |                 6.19583 |             87.66667 |             87.66667
 725030:14732 | 2014 |     3 |  29 |                    12.8 |                       0 |                 8.40417 |             46.42917 |             46.42917
 725030:14732 | 2014 |     3 |  28 |                    15.6 |                       0 |                 7.05833 |                 41.7 |                 41.7
 725030:14732 | 2014 |     3 |  27 |                       5 |                    -4.4 |               -0.870833 |             28.41667 |             28.41667
 725030:14732 | 2014 |     3 |  26 |                     1.7 |                       0 |                0.779167 |                 30.8 |                 30.8
 725030:14732 | 2014 |     3 |  25 |                     2.8 |                    -3.3 |               -0.116667 |              27.7875 |              27.7875
 725030:14732 | 2014 |     3 |  24 |                     1.7 |                    -5.6 |                -2.05833 |              26.8625 |              26.8625
 725030:14732 | 2014 |     3 |  23 |                    12.8 |                       0 |                   5.025 |             34.71667 |             34.71667
 725030:14732 | 2014 |     3 |  22 |                    17.2 |                       0 |                  8.9125 |             38.09583 |             38.09583
 725030:14732 | 2014 |     3 |  21 |                      10 |                       0 |                 6.29167 |             34.34583 |             34.34583
 725030:14732 | 2014 |     3 |  20 |                    11.7 |                       0 |                 7.17917 |             42.07083 |             42.07083
 725030:14732 | 2014 |     3 |  19 |                     6.1 |                    -0.6 |                 2.08333 |             38.50417 |             38.50417
 725030:14732 | 2014 |     3 |  18 |                     3.9 |                    -2.8 |                0.083333 |               29.675 |               29.675
 725030:14732 | 2014 |     3 |  17 |                     0.6 |                    -4.4 |                -1.95833 |             26.33333 |             26.33333
 725030:14732 | 2014 |     3 |  16 |                    11.7 |                    -0.6 |                 2.92083 |                30.95 |                30.95
 725030:14732 | 2014 |     3 |  15 |                    14.4 |                       0 |                 8.60833 |               37.775 |               37.775
